# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveall --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,209,7,144,69,5,22,10,0,59,35,0,41,31,0,44,32,0,8,4,0,7,9,0,7,7,3.77901601791
apache1,78,3,110,57,3,30,14,0,59,35,0,20,14,0,31,19,0,11,6,0,4,7,0,15,12,5.85381197929
apache1,50,4,107,57,4,34,15,0,59,35,0,32,21,0,16,15,0,11,6,0,16,13,0,7,10,9.8049428463
apache1,417,4,110,57,4,27,12,0,59,35,0,29,21,0,22,15,0,11,6,0,11,11,0,5,6,5.72816491127
apache1,70,4,110,57,3,30,14,0,59,35,0,20,15,0,31,20,0,11,6,0,6,8,0,13,12,9.82091498375
apache1,239,8,140,69,6,20,9,0,59,35,0,36,27,0,45,32,0,8,4,0,6,8,0,6,7,5.35189390182
apache1,158,4,109,57,4,34,15,0,59,35,0,17,15,0,33,20,0,11,6,0,6,10,0,17,12,11.5352900028
apache1,83,3,97,53,3,27,13,0,59,35,0,20,14,0,18,15,0,11,6,0,4,7,0,12,11,8.33933591843
apache1,117,4,110,57,4,17,8,0,59,35,0,17,13,0,34,20,0,6,3,0,3,7,0,8,7,2.90912294388
apache1,108,5,110,57,4,29,13,0,59,35,0,17,14,0,34,21,0,11,6,0,4,8,0,14,11,7.22187614441
apache1,84,3,92,51,3,22,11,0,59,35,0,20,14,0,13,13,0,11,6,0,4,7,0,7,9,4.60325098038
apache1,408,4,99,53,4,18,8,0,59,35,0,18,15,0,22,13,0,8,4,0,4,8,0,6,6,4.27433800697
apache1,383,5,110,57,5,27,13,0,59,35,0,30,21,0,21,14,0,11,6,0,12,11,0,4,7,7.85112690926
apache1,404,4,94,51,4,24,11,0,59,35,0,13,13,0,22,13,0,11,6,0,7,10,0,6,7,7.19626402855
apache1,250,8,140,69,6,20,9,0,59,35,0,36,27,0,45,32,0,8,4,0,6,8,0,6,7,4.77202486992
apache1,353,4,110,57,4,30,14,0,59,35,0,29,21,0,22,15,0,11,6,0,13,13,0,6,7,7.84577798843
apache1,85,3,100,53,3,19,8,0,59,35,0,22,14,0,19,12,0,8,4,0,6,6,0,5,6,4.53820204735
apache1,407,4,99,53,4,26,13,0,59,35,0,18,17,0,22,14,0,11,6,0,8,11,0,7,7,5.83541607857
apache1,337,8,120,61,8,36,16,0,59,35,0,27,20,0,34,23,0,11,6,0,9,11,0,16,13,14.4019868374
apache1,274,7,144,69,5,20,9,0,59,35,0,39,32,0,46,31,0,8,4,0,6,9,0,6,6,3.9254450798
apache1,217,7,120,61,7,36,15,0,59,35,0,32,23,0,29,19,0,11,6,0,16,14,0,9,9,9.41621303558
apache1,16,5,120,61,5,36,16,0,59,35,0,32,20,0,29,20,0,11,6,0,14,12,0,11,11,17.5490169525
apache1,264,8,120,61,8,37,16,0,59,35,0,32,23,0,29,20,0,11,6,0,15,14,0,11,11,18.586163044
apache1,282,4,124,61,4,21,10,0,59,35,0,20,16,0,45,30,0,8,4,0,5,7,0,8,9,4.84462690353
apache1,350,4,124,61,2,21,9,0,59,35,0,42,30,0,23,16,0,8,4,0,5,7,0,8,7,6.6652700901
apache1,269,7,120,61,7,36,16,0,59,35,0,32,22,0,29,19,0,11,6,0,16,14,0,9,10,16.8394520283
apache1,17,4,120,61,4,35,15,0,59,35,0,27,19,0,34,22,0,11,6,0,9,10,0,15,12,11.7829890251
apache1,156,4,110,57,3,29,14,0,59,35,0,20,15,0,31,20,0,11,6,0,7,9,0,11,11,13.0304570198
apache1,300,6,110,57,5,29,13,0,59,35,0,22,16,0,29,20,0,11,6,0,7,9,0,11,11,4.83301997185
apache1,268,6,120,61,6,36,16,0,59,35,0,32,23,0,29,19,0,11,6,0,15,14,0,10,10,7.20138311386
apache1,218,8,141,69,4,16,8,0,59,35,0,40,30,0,42,30,0,6,3,0,6,8,0,4,6,2.34622097015
apache1,307,8,110,57,7,31,14,0,59,35,0,22,17,0,29,20,0,11,6,0,8,10,0,12,11,5.24259805679
apache1,279,4,120,61,4,15,7,0,59,35,0,20,16,0,41,26,0,6,3,0,3,7,0,6,6,1.98977684975
apache1,215,6,107,57,6,33,15,0,59,35,0,33,22,0,15,14,0,11,6,0,15,14,0,7,9,6.10100412369
apache1,255,8,140,69,6,20,9,0,59,35,0,36,27,0,45,32,0,8,4,0,6,8,0,6,7,2.83656287193
apache1,344,6,109,57,6,34,15,0,59,35,0,16,15,0,34,21,0,11,6,0,6,9,0,17,13,6.0372569561
apache1,288,6,110,57,3,19,8,0,59,35,0,21,16,0,30,20,0,8,4,0,5,7,0,6,7,2.40724802017
apache1,419,4,110,57,4,31,14,0,59,35,0,30,22,0,21,16,0,11,6,0,15,13,0,5,7,6.14140200615
apache1,172,5,144,69,3,17,8,0,59,35,0,42,33,0,43,31,0,6,3,0,6,7,0,5,7,2.3853290081
apache1,290,4,110,57,3,20,9,0,59,35,0,22,16,0,29,19,0,8,4,0,7,8,0,5,7,2.71404409409
apache1,374,5,110,57,5,27,13,0,59,35,0,31,23,0,20,14,0,11,6,0,10,11,0,6,7,4.48830103874
apache1,352,4,110,57,4,20,9,0,59,35,0,27,20,0,24,15,0,8,4,0,5,8,0,7,7,2.6203558445
apache1,272,9,120,61,9,38,16,0,59,35,0,33,24,0,28,19,0,11,6,0,17,15,0,10,10,7.45712089539
apache1,351,6,110,57,6,26,13,0,59,35,0,27,21,0,24,15,0,11,6,0,9,11,0,6,7,4.16343998909
