# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveraw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,207,5,140,69,3,9,7,0,59,35,0,39,30,0,42,29,0,3,3,0,3,6,0,3,6,1.50789880753
apache1,212,7,120,61,3,9,7,0,59,35,0,31,21,0,30,19,0,3,3,0,4,6,0,2,5,1.31456017494
apache1,305,5,97,53,5,14,11,0,59,35,0,22,15,0,16,15,0,6,6,0,3,8,0,5,9,2.02077102661
apache1,306,4,110,57,3,11,7,0,59,35,0,22,16,0,29,19,0,4,4,0,4,7,0,3,6,1.74385309219
apache1,287,6,110,57,3,11,7,0,59,35,0,21,15,0,30,20,0,4,4,0,5,7,0,2,5,1.70694518089
apache1,113,6,120,61,4,11,7,0,59,35,0,19,19,0,42,29,0,4,4,0,3,7,0,4,6,1.8103852272
apache1,214,7,120,61,5,17,11,0,59,35,0,33,23,0,28,18,0,6,6,0,5,10,0,6,8,2.94979500771
apache1,372,3,110,57,3,9,7,0,59,35,0,31,21,0,20,14,0,3,3,0,3,6,0,3,6,1.64678502083
apache1,246,6,120,61,4,17,11,0,59,35,0,27,19,0,34,23,0,6,6,0,6,9,0,5,9,2.57718086243
apache1,159,4,104,55,4,15,11,0,59,35,0,12,13,0,33,20,0,6,6,0,2,9,0,7,9,2.42795014381
apache1,371,6,124,61,2,11,7,0,59,35,0,44,31,0,21,15,0,4,4,0,2,5,0,5,6,1.92038297653
apache1,213,7,120,61,5,17,11,0,59,35,0,32,23,0,29,19,0,6,6,0,5,10,0,6,8,2.78988695145
apache1,342,6,120,61,6,17,11,0,59,35,0,28,19,0,33,21,0,6,6,0,5,9,0,6,9,2.47569394112
apache1,296,5,97,53,5,14,11,0,59,35,0,22,15,0,16,15,0,6,6,0,3,8,0,5,9,2.18208599091
apache1,233,6,120,61,4,17,11,0,59,35,0,32,23,0,29,19,0,6,6,0,4,9,0,7,8,2.7299759388
apache1,211,7,120,61,5,17,11,0,59,35,0,33,23,0,28,19,0,6,6,0,6,10,0,5,8,2.80424499512
apache1,376,5,110,57,3,11,7,0,59,35,0,32,21,0,19,13,0,4,4,0,5,6,0,2,6,1.8635931015
apache1,112,4,124,61,4,11,7,0,59,35,0,17,14,0,48,31,0,4,4,0,3,7,0,4,6,1.73516798019
