# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,248,8,120,61,0,59,35,0,28,20,0,33,22,6,12,7,0,4,4,0,4,7,0,4,6,0.504739999771
apache1,349,6,120,61,0,59,35,0,38,27,0,23,16,2,9,7,0,3,3,0,1,4,0,5,6,0.405533075333
apache1,255,10,140,69,0,59,35,0,36,27,0,45,32,4,9,7,0,3,3,0,3,7,0,3,6,0.4361140728
apache1,364,8,120,61,0,59,35,0,41,28,0,20,15,4,8,7,0,3,3,0,2,7,0,3,6,0.382676124573
apache1,346,10,120,61,0,59,35,0,27,19,0,34,22,6,15,11,0,6,6,0,4,9,0,5,9,0.652127981186
apache1,172,5,144,69,0,59,35,0,42,33,0,43,31,3,9,7,0,3,3,0,3,6,0,3,7,0.411040067673
apache1,342,8,120,61,0,59,35,0,28,19,0,33,21,4,9,7,0,3,3,0,3,7,0,3,6,0.403305053711
apache1,391,8,110,57,0,59,35,0,22,16,0,29,19,4,8,7,0,3,3,0,3,6,0,2,7,0.391941070557
apache1,291,9,110,57,0,59,35,0,22,16,0,29,19,5,9,7,0,3,3,0,3,7,0,3,6,0.480156898499
apache1,365,6,120,61,0,59,35,0,42,29,0,19,15,2,9,7,0,3,3,0,2,6,0,4,6,0.600666999817
apache1,280,6,120,61,0,59,35,0,21,16,0,40,26,4,8,7,0,3,3,0,2,7,0,3,6,0.38502407074
apache1,301,10,110,57,0,59,35,0,22,17,0,29,20,4,15,11,0,6,6,0,3,7,0,6,10,0.647382974625
apache1,236,8,120,61,0,59,35,0,28,20,0,33,22,6,12,7,0,4,4,0,4,7,0,4,6,0.521638870239
apache1,185,8,120,61,0,59,35,0,19,15,0,42,26,4,9,7,0,3,3,0,2,7,0,4,6,0.446757793427
apache1,282,6,124,61,0,59,35,0,20,16,0,45,30,4,9,7,0,3,3,0,3,7,0,3,6,0.411890029907
apache1,419,8,110,57,0,59,35,0,30,22,0,21,16,4,15,11,0,6,6,0,7,10,0,2,6,0.683876991272
apache1,274,9,144,69,0,59,35,0,39,32,0,46,31,3,8,7,0,3,3,0,2,6,0,3,6,0.414926052094
apache1,50,5,107,57,0,59,35,0,32,21,0,16,15,3,10,7,0,4,4,0,3,6,0,3,7,0.439747095108
apache1,275,9,140,69,0,59,35,0,40,32,0,41,29,3,8,7,0,3,3,0,2,6,0,3,6,0.384011030197
apache1,207,9,140,69,0,59,35,0,39,30,0,42,29,3,9,7,0,3,3,0,3,6,0,3,6,0.426140069962
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,3,9,7,0,3,3,0,4,6,0,2,6,0.438508033752
apache1,144,8,110,57,0,59,35,0,20,15,0,31,19,4,8,7,0,3,3,0,3,7,0,2,6,0.373080968857
apache1,78,3,110,57,0,59,35,0,20,14,0,31,19,3,11,7,0,4,4,0,3,6,0,4,6,0.447680950165
apache1,51,5,102,55,0,59,35,0,32,21,0,11,13,3,14,11,0,6,6,0,5,9,0,3,9,0.640763998032
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,9,7,0,3,3,0,3,7,0,3,6,0.408430099487
apache1,111,9,124,61,0,59,35,0,19,20,0,46,34,5,8,7,0,3,3,0,2,6,0,3,7,0.417318105698
apache1,106,4,100,53,0,59,35,0,17,12,0,24,14,4,9,7,0,3,3,0,2,7,0,4,6,0.43345785141
