# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,287,7,110,57,0,59,35,0,21,15,0,30,20,2,6,6,0,1,1,0,4,5,0,1,2,0.302181005478
apache1,220,11,141,69,0,59,35,0,38,28,0,44,34,2,8,6,0,1,1,0,4,5,0,3,5,0.318474054337
apache1,110,8,110,57,0,59,35,0,17,13,0,34,21,4,7,7,0,2,2,0,2,6,0,3,6,0.324337005615
apache1,304,7,110,57,0,59,35,0,22,16,0,29,20,5,9,9,0,2,2,0,4,7,0,3,8,0.333537101746
apache1,271,6,107,57,0,59,35,0,33,22,0,15,14,4,6,8,0,1,1,0,2,5,0,3,7,0.263096809387
apache1,218,8,141,69,0,59,35,0,40,30,0,42,30,3,6,6,0,1,1,0,2,5,0,3,6,0.293874025345
apache1,298,9,110,57,0,59,35,0,21,16,0,30,21,2,8,8,0,1,1,0,3,5,0,4,8,0.340008020401
apache1,418,10,110,57,0,59,35,0,28,21,0,23,17,4,7,7,0,2,2,0,3,7,0,2,6,0.286544084549
apache1,182,6,120,61,0,59,35,0,17,18,0,44,28,2,9,7,0,3,3,0,1,4,0,5,6,0.348970174789
apache1,112,4,124,61,0,59,35,0,17,14,0,48,31,2,6,6,0,1,1,0,3,6,0,2,4,0.284701108932
apache1,414,6,124,61,0,59,35,0,42,30,0,23,16,2,7,7,0,2,2,0,1,3,0,4,6,0.335762023926
apache1,17,6,120,61,0,59,35,0,27,19,0,34,22,4,8,6,0,1,1,0,4,6,0,3,5,0.32253408432
apache1,157,8,120,61,0,59,35,0,28,19,0,33,21,4,9,7,0,2,2,0,3,6,0,4,6,0.349758148193
apache1,383,7,110,57,0,59,35,0,30,21,0,21,14,4,6,6,0,1,1,0,3,5,0,2,5,0.30313706398
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,4,6,6,0,1,1,0,2,5,0,3,6,0.283581972122
apache1,267,11,120,61,0,59,35,0,33,23,0,28,20,4,6,6,0,1,1,0,2,5,0,3,6,0.303555011749
apache1,272,10,120,61,0,59,35,0,33,24,0,28,19,4,9,9,0,2,2,0,2,6,0,5,9,0.376575946808
apache1,399,9,137,69,0,59,35,0,38,29,0,40,28,3,6,6,0,1,1,0,3,6,0,2,5,0.288772106171
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,2,8,6,0,1,1,0,5,5,0,2,4,0.303701877594
apache1,402,9,141,69,0,59,35,0,39,27,0,43,31,3,6,6,0,1,1,0,4,6,0,1,5,0.296330928802
apache1,244,8,120,61,0,59,35,0,26,18,0,35,21,2,6,6,0,1,1,0,2,4,0,3,4,0.28422498703
apache1,309,6,120,61,0,59,35,0,21,16,0,40,26,4,7,7,0,2,2,0,2,7,0,3,6,0.318919897079
apache1,407,4,99,53,0,59,35,0,18,17,0,22,14,4,6,8,0,1,1,0,2,7,0,3,5,0.303895950317
