# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitivewar --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,216,9,120,61,7,15,11,0,59,35,0,32,23,0,29,21,0,4,4,0,7,11,0,4,6,2.19743299484
apache1,423,4,109,57,4,11,8,0,59,35,0,29,22,0,21,13,0,4,4,0,3,8,0,4,6,1.71252799034
apache1,275,9,140,69,3,8,7,0,59,35,0,40,32,0,41,29,0,3,3,0,2,6,0,3,6,1.24231410027
apache1,207,5,140,69,3,10,8,0,59,35,0,39,30,0,42,29,0,3,3,0,3,6,0,4,7,1.47896099091
apache1,212,7,120,61,3,10,8,0,59,35,0,31,21,0,30,19,0,3,3,0,4,6,0,3,6,2.83499598503
apache1,305,5,97,53,5,16,13,0,59,35,0,22,15,0,16,15,0,6,6,0,4,9,0,6,10,2.90527796745
apache1,306,4,110,57,3,8,7,0,59,35,0,22,16,0,29,19,0,3,3,0,3,7,0,2,6,1.29440784454
apache1,287,6,110,57,5,10,8,0,59,35,0,21,15,0,30,20,0,3,3,0,5,7,0,2,7,1.86889696121
apache1,113,6,120,61,4,8,7,0,59,35,0,19,19,0,42,29,0,3,3,0,2,7,0,3,6,1.9566090107
apache1,214,7,120,61,7,13,9,0,59,35,0,33,23,0,28,18,0,4,4,0,5,9,0,4,6,3.48551702499
apache1,372,3,110,57,3,10,8,0,59,35,0,31,21,0,20,14,0,3,3,0,3,6,0,4,7,1.63107895851
apache1,246,6,120,61,6,13,10,0,59,35,0,27,19,0,34,23,0,4,4,0,4,7,0,5,9,2.36216211319
apache1,159,4,104,55,4,15,12,0,59,35,0,12,13,0,33,20,0,6,6,0,2,9,0,7,10,3.02380895615
apache1,371,6,124,61,4,10,8,0,59,35,0,44,31,0,21,15,0,3,3,0,2,8,0,5,6,2.90909695625
apache1,213,7,120,61,5,18,13,0,59,35,0,32,23,0,29,19,0,6,6,0,6,11,0,6,9,3.50002980232
apache1,342,6,120,61,4,10,8,0,59,35,0,28,19,0,33,21,0,3,3,0,4,8,0,3,6,1.88693594933
apache1,296,5,97,53,5,16,13,0,59,35,0,22,15,0,16,15,0,6,6,0,4,9,0,6,10,2.58525419235
apache1,233,6,120,61,4,18,13,0,59,35,0,32,23,0,29,19,0,6,6,0,5,10,0,7,9,2.50380396843
apache1,211,7,120,61,7,19,13,0,59,35,0,33,23,0,28,19,0,6,6,0,6,11,0,7,10,2.75934791565
apache1,376,5,110,57,5,10,8,0,59,35,0,32,21,0,19,13,0,3,3,0,5,8,0,2,6,1.50559186935
apache1,112,4,124,61,4,10,8,0,59,35,0,17,14,0,48,31,0,3,3,0,3,7,0,4,7,1.40767383575
apache1,209,7,144,69,3,10,8,0,59,35,0,41,31,0,44,32,0,3,3,0,3,6,0,4,7,1.49004387856
apache1,78,3,110,57,3,13,10,0,59,35,0,20,14,0,31,19,0,4,4,0,3,6,0,6,9,1.78696084023
apache1,50,4,107,57,4,12,9,0,59,35,0,32,21,0,16,15,0,4,4,0,4,8,0,4,7,1.75389504433
apache1,417,4,110,57,4,16,13,0,59,35,0,29,21,0,22,15,0,6,6,0,7,12,0,3,6,2.65819001198
apache1,70,4,110,57,3,11,9,0,59,35,0,20,15,0,31,20,0,4,4,0,4,7,0,3,8,1.74003911018
apache1,239,8,140,69,4,10,8,0,59,35,0,36,27,0,45,32,0,3,3,0,4,8,0,3,6,1.48363208771
apache1,158,4,109,57,4,12,9,0,59,35,0,17,15,0,33,20,0,4,4,0,3,8,0,5,7,1.789675951
apache1,83,3,97,53,3,11,9,0,59,35,0,20,14,0,18,15,0,4,4,0,3,6,0,4,8,1.51738882065
apache1,117,4,110,57,4,10,8,0,59,35,0,17,13,0,34,20,0,3,3,0,2,7,0,5,7,1.63684010506
apache1,108,5,110,57,4,17,13,0,59,35,0,17,14,0,34,21,0,6,6,0,2,8,0,9,11,2.61288404465
apache1,84,3,92,51,3,14,11,0,59,35,0,20,14,0,13,13,0,6,6,0,3,7,0,5,9,1.92913198471
apache1,408,4,99,53,4,11,8,0,59,35,0,18,15,0,22,13,0,4,4,0,3,8,0,4,6,1.590487957
apache1,383,5,110,57,5,10,8,0,59,35,0,30,21,0,21,14,0,3,3,0,5,8,0,2,6,1.49729204178
apache1,404,4,94,51,4,15,11,0,59,35,0,13,13,0,22,13,0,6,6,0,5,10,0,4,7,2.33592414856
apache1,250,8,140,69,4,10,8,0,59,35,0,36,27,0,45,32,0,3,3,0,4,8,0,3,6,1.48342394829
apache1,353,4,110,57,4,19,14,0,59,35,0,29,21,0,22,15,0,6,6,0,9,13,0,4,7,2.46658301353
apache1,85,3,100,53,3,10,8,0,59,35,0,22,14,0,19,12,0,3,3,0,4,6,0,3,6,1.38561582565
apache1,407,4,99,53,4,16,13,0,59,35,0,18,17,0,22,14,0,6,6,0,6,11,0,4,7,2.17251992226
apache1,337,8,120,61,8,19,13,0,59,35,0,27,20,0,34,23,0,6,6,0,7,11,0,6,10,2.44922614098
apache1,274,7,144,69,3,8,7,0,59,35,0,39,32,0,46,31,0,3,3,0,2,6,0,3,6,1.22863197327
apache1,217,7,120,61,5,13,9,0,59,35,0,32,23,0,29,19,0,4,4,0,4,8,0,5,7,1.8357231617
apache1,16,5,120,61,3,13,10,0,59,35,0,32,20,0,29,20,0,4,4,0,6,9,0,3,6,1.88553118706
apache1,264,8,120,61,8,19,13,0,59,35,0,32,23,0,29,20,0,6,6,0,5,11,0,8,10,2.70003604889
apache1,282,4,124,61,4,10,8,0,59,35,0,20,16,0,45,30,0,3,3,0,4,8,0,3,6,1.71253395081
apache1,350,4,124,61,2,10,8,0,59,35,0,42,30,0,23,16,0,3,3,0,1,4,0,6,7,1.42402791977
apache1,269,7,120,61,5,10,8,0,59,35,0,32,22,0,29,19,0,3,3,0,3,7,0,4,7,1.64581012726
apache1,17,4,120,61,4,15,10,0,59,35,0,27,19,0,34,22,0,4,4,0,6,9,0,5,7,2.07105612755
apache1,156,4,110,57,3,10,8,0,59,35,0,20,15,0,31,20,0,3,3,0,5,8,0,2,6,1.54705691338
apache1,300,6,110,57,5,19,14,0,59,35,0,22,16,0,29,20,0,6,6,0,6,10,0,7,11,2.45791721344
apache1,268,6,120,61,4,10,8,0,59,35,0,32,23,0,29,19,0,3,3,0,2,7,0,5,7,1.45539999008
apache1,218,8,141,69,4,10,8,0,59,35,0,40,30,0,42,30,0,3,3,0,4,8,0,3,6,1.64018416405
apache1,307,8,110,57,5,17,13,0,59,35,0,22,17,0,29,20,0,6,6,0,4,9,0,7,11,2.70310091972
apache1,279,4,120,61,4,10,8,0,59,35,0,20,16,0,41,26,0,3,3,0,3,8,0,4,6,1.48089694977
apache1,215,6,107,57,6,12,9,0,59,35,0,33,22,0,15,14,0,4,4,0,4,9,0,4,6,1.76229095459
apache1,255,8,140,69,4,10,8,0,59,35,0,36,27,0,45,32,0,3,3,0,4,8,0,3,6,1.44755887985
apache1,344,6,109,57,6,15,12,0,59,35,0,16,15,0,34,21,0,6,6,0,3,9,0,6,10,2.17300605774
apache1,288,6,110,57,3,10,8,0,59,35,0,21,16,0,30,20,0,3,3,0,5,8,0,2,6,1.52451300621
apache1,419,4,110,57,4,17,13,0,59,35,0,30,22,0,21,16,0,6,6,0,8,12,0,3,7,2.77180290222
apache1,172,5,144,69,3,10,8,0,59,35,0,42,33,0,43,31,0,3,3,0,4,7,0,3,7,1.69554591179
apache1,290,4,110,57,3,8,7,0,59,35,0,22,16,0,29,19,0,3,3,0,3,7,0,2,6,1.13676309586
apache1,374,5,110,57,5,10,8,0,59,35,0,31,23,0,20,14,0,3,3,0,4,8,0,3,6,1.35942316055
apache1,352,4,110,57,4,10,8,0,59,35,0,27,20,0,24,15,0,3,3,0,2,7,0,5,7,1.42571616173
apache1,272,9,120,61,7,17,12,0,59,35,0,33,24,0,28,19,0,6,6,0,5,11,0,6,9,2.5370490551
apache1,351,6,110,57,6,10,8,0,59,35,0,27,21,0,24,15,0,3,3,0,3,8,0,4,6,1.56094002724
apache1,106,4,100,53,4,10,8,0,59,35,0,17,12,0,24,14,0,3,3,0,3,8,0,4,6,1.49847888947
apache1,393,6,110,57,5,17,13,0,59,35,0,22,16,0,29,20,0,6,6,0,5,9,0,6,11,2.67651605606
apache1,338,8,120,61,8,19,13,0,59,35,0,27,20,0,34,23,0,6,6,0,6,10,0,7,11,2.58025193214
apache1,413,4,120,61,4,13,9,0,59,35,0,40,26,0,21,13,0,4,4,0,5,9,0,4,6,1.89832997322
apache1,75,5,97,53,3,10,8,0,59,35,0,20,16,0,18,15,0,4,4,0,3,6,0,3,7,1.46652507782
apache1,341,6,120,61,4,10,8,0,59,35,0,27,19,0,34,22,0,3,3,0,4,8,0,3,6,1.53091812134
apache1,295,6,110,57,5,17,13,0,59,35,0,22,16,0,29,20,0,6,6,0,5,9,0,6,11,2.58927106857
